Iteration 0: x=34.151977164792044, y=-77.86698268629279, yaw=-0.2110571583433766, v=0.1, steer_angle=0.0, target_idx=2, distance_to_target=0.5641261384700457, cte=-0.0000, heading_error=0.00°
Iteration 1: x=34.15197733656947, y=-77.86698273076489, yaw=-0.21771220146485815, v=0.195, steer_angle=-0.11327444279689103, target_idx=2, distance_to_target=1.134603072268208, cte=-0.5541, heading_error=12.34°
Iteration 2: x=34.15197758748518, y=-77.86698279783889, yaw=-0.2073754156951698, v=0.28525, steer_angle=0.12020972924856665, target_idx=2, distance_to_target=1.1155712095244834, cte=-0.5347, heading_error=12.98°
Iteration 3: x=34.15197791454731, y=-77.86698288099254, yaw=-0.17762391729596017, v=0.3709875, steer_angle=0.26121044677265737, target_idx=2, distance_to_target=1.0878030839805162, cte=-0.5062, heading_error=12.79°
Iteration 4: x=34.15197828026708, y=-77.86698296032597, yaw=-0.1392643938004196, v=0.41243812500000004, steer_angle=0.3006261523558501, target_idx=2, distance_to_target=1.0516594794388223, cte=-0.4691, heading_error=11.62°
Iteration 5: x=34.151978719055045, y=-77.86698303464846, yaw=-0.10206771352079386, v=0.49181621875000003, steer_angle=0.2469581038273989, target_idx=2, distance_to_target=1.0112869228366006, cte=-0.4279, heading_error=9.98°
Iteration 6: x=34.15197922740941, y=-77.866983097566, yaw=-0.061565424147403874, v=0.5672254078125001, steer_angle=0.23366637142603675, target_idx=3, distance_to_target=0.9628689932588417, cte=-0.3788, heading_error=8.44°
Iteration 7: x=34.15197980187227, y=-77.86698314035706, yaw=-0.013870247443231454, v=0.6388641374218751, steer_angle=0.24389982314973313, target_idx=3, distance_to_target=1.4901797213075665, cte=-0.9068, heading_error=12.78°
Iteration 8: x=34.151980438676716, y=-77.86698315103096, yaw=0.018638274164195973, v=0.7069209305507813, steer_angle=0.15210298801877697, target_idx=3, distance_to_target=1.4276187900090922, cte=-0.8433, heading_error=10.65°
Iteration 9: x=34.15198113366849, y=-77.86698313537642, yaw=0.04863707338744579, v=0.7715748840232423, steer_angle=0.12888149450903186, target_idx=3, distance_to_target=1.35789222870747, cte=-0.7729, heading_error=9.34°
Iteration 10: x=34.151981883228025, y=-77.86698309128833, yaw=0.07771555053590812, v=0.8329961398220801, steer_angle=0.11584004631381395, target_idx=3, distance_to_target=1.281506760574113, cte=-0.6958, heading_error=8.17°
