Iteration 0: x=34.15200053553391, y=-77.86681806446609, yaw=0.7853981633619211, v=0.0005, target_speed=0.05, steer_angle=0.0, target_waypoint=[ 34.152097  -77.8667216]
Iteration 1: x=34.15200757124638, y=-77.86681102875362, yaw=0.7853981633618823, v=0.000995, target_speed=0.05, steer_angle=-3.906208689841151e-12, target_waypoint=[ 34.152097  -77.8667216]
Iteration 2: x=34.15201807213563, y=-77.86680052786436, yaw=0.7853981633616969, v=0.00148505, target_speed=0.05, steer_angle=-1.248201542125571e-11, target_waypoint=[ 34.152097  -77.8667216]
Iteration 3: x=34.1520320035499, y=-77.86678659645008, yaw=0.785398163358489, v=0.0019701995, target_speed=0.05, steer_angle=-1.6281875847568017e-10, target_waypoint=[ 34.152097  -77.8667216]
Iteration 4: x=34.15204933118393, y=-77.86676926881606, yaw=0.7853981633492981, v=0.002450497505, target_speed=0.05, steer_angle=-3.7506298067313537e-10, target_waypoint=[ 34.152097  -77.8667216]
Iteration 5: x=34.15207002107553, y=-77.86674857892446, yaw=0.7853981633404404, v=0.00292599252995, target_speed=0.05, steer_angle=-3.0272417905763405e-10, target_waypoint=[ 34.152097  -77.8667216]
Iteration 6: x=34.15209403960212, y=-77.86672456039787, yaw=0.7853981633194118, v=0.0033967326046505, target_speed=0.05, steer_angle=-6.190851165044364e-10, target_waypoint=[ 34.152097  -77.8667216]
Iteration 7: x=34.15212135347735, y=-77.86669724652265, yaw=0.7853981630503173, v=0.003862765278603995, target_speed=0.05, steer_angle=-6.9663691482091394e-09, target_waypoint=[ 34.152097  -77.8667216]
Iteration 8: x=34.15214910132061, y=-77.8666694986794, yaw=0.7853981631083566, v=0.003924137625817955, target_speed=0.01, steer_angle=-9.424777959290344, target_waypoint=[ 34.152097  -77.8667216]
Iteration 9: x=34.15217727879222, y=-77.86664132120781, yaw=0.785398163134765, v=0.0039848962495597755, target_speed=0.01, steer_angle=-9.42477796010667, target_waypoint=[ 34.152097  -77.8667216]
Iteration 10: x=34.1522058815959, y=-77.86661271840414, yaw=0.7853981631451604, v=0.0040450472870641775, target_speed=0.01, steer_angle=-9.424777960512387, target_waypoint=[ 34.152097  -77.8667216]
Iteration 11: x=34.152234905478316, y=-77.86658369452174, yaw=0.7853981631561372, v=0.004104596814193536, target_speed=0.01, steer_angle=-9.424777960501952, target_waypoint=[ 34.152097  -77.8667216]
Iteration 12: x=34.15226434622869, y=-77.86655425377137, yaw=0.7853981631637537, v=0.0041635508460516005, target_speed=0.01, steer_angle=-9.424777960586447, target_waypoint=[ 34.152097  -77.8667216]
Iteration 13: x=34.152294199678344, y=-77.86652440032172, yaw=0.7853981631718415, v=0.004221915337591084, target_speed=0.01, steer_angle=-9.42477796057781, target_waypoint=[ 34.152097  -77.8667216]
Iteration 14: x=34.15232446170028, y=-77.8664941382998, yaw=0.7853981631799898, v=0.004279696184215173, target_speed=0.01, steer_angle=-9.424777960578986, target_waypoint=[ 34.152097  -77.8667216]
Iteration 15: x=34.15235512820878, y=-77.8664634717913, yaw=0.7853981631859291, v=0.004336899222373021, target_speed=0.01, steer_angle=-9.42477796063243, target_waypoint=[ 34.152097  -77.8667216]
Iteration 16: x=34.15238619515898, y=-77.86643240484112, yaw=0.7853981631920395, v=0.004393530230149291, target_speed=0.01, steer_angle=-9.424777960630303, target_waypoint=[ 34.152097  -77.8667216]
Iteration 17: x=34.15241765854646, y=-77.86640094145366, yaw=0.7853981631965009, v=0.004449594927847798, target_speed=0.01, steer_angle=-9.424777960669115, target_waypoint=[ 34.152097  -77.8667216]
Iteration 18: x=34.15244951440685, y=-77.86636908559329, yaw=0.7853981631982034, v=0.00450509897856932, target_speed=0.01, steer_angle=-9.42477796073159, target_waypoint=[ 34.152097  -77.8667216]
Iteration 19: x=34.152481758815405, y=-77.86633684118475, yaw=0.7853981631992649, v=0.004560047988783627, target_speed=0.01, steer_angle=-9.424777960746102, target_waypoint=[ 34.152097  -77.8667216]
Iteration 20: x=34.15251438788666, y=-77.8663042121135, yaw=0.7853981631998571, v=0.004614447508895791, target_speed=0.01, steer_angle=-9.424777960756547, target_waypoint=[ 34.152097  -77.8667216]
Iteration 21: x=34.152547397773986, y=-77.86627120222619, yaw=0.785398163200112, v=0.004668303033806833, target_speed=0.01, steer_angle=-9.424777960763919, target_waypoint=[ 34.152097  -77.8667216]
Iteration 22: x=34.15258078466922, y=-77.86623781533096, yaw=0.7853981632012489, v=0.0047216200034687645, target_speed=0.01, steer_angle=-9.424777960745303, target_waypoint=[ 34.152097  -77.8667216]
Iteration 23: x=34.15261454480228, y=-77.86620405519791, yaw=0.785398163203055, v=0.004774403803434077, target_speed=0.01, steer_angle=-9.42477796073155, target_waypoint=[ 34.152097  -77.8667216]
Iteration 24: x=34.1526486744408, y=-77.86616992555942, yaw=0.7853981632043655, v=0.004826659765399736, target_speed=0.01, steer_angle=-9.424777960742228, target_waypoint=[ 34.152097  -77.8667216]
Iteration 25: x=34.152683169889706, y=-77.86613543011052, yaw=0.785398163204349, v=0.004878393167745739, target_speed=0.01, steer_angle=9.42477796076904, target_waypoint=[ 34.152097  -77.8667216]
Iteration 26: x=34.152718027490906, y=-77.86610057250932, yaw=0.7853981632051197, v=0.004929609236068282, target_speed=0.01, steer_angle=-9.424777960753746, target_waypoint=[ 34.152097  -77.8667216]
Iteration 27: x=34.152753243622875, y=-77.86606535637736, yaw=0.7853981632065042, v=0.004980313143707599, target_speed=0.01, steer_angle=-9.42477796074158, target_waypoint=[ 34.152097  -77.8667216]
Iteration 28: x=34.15278881470031, y=-77.86602978529994, yaw=0.7853981632083592, v=0.0050305100122705225, target_speed=0.01, steer_angle=-9.424777960732506, target_waypoint=[ 34.152097  -77.8667216]
Iteration 29: x=34.152824737173745, y=-77.86599386282651, yaw=0.7853981632097845, v=0.005080204912147817, target_speed=0.01, steer_angle=-9.424777960741324, target_waypoint=[ 34.152097  -77.8667216]
Iteration 30: x=34.15286100752923, y=-77.86595759247105, yaw=0.7853981632116184, v=0.005129402863026339, target_speed=0.01, steer_angle=-9.424777960733628, target_waypoint=[ 34.152097  -77.8667216]
Iteration 31: x=34.152897622287945, y=-77.86592097771235, yaw=0.7853981632123137, v=0.0051781088343960755, target_speed=0.01, steer_angle=-9.424777960755952, target_waypoint=[ 34.152097  -77.8667216]
Iteration 32: x=34.15293457800585, y=-77.86588402199446, yaw=0.7853981632128153, v=0.005226327746052114, target_speed=0.01, steer_angle=-9.424777960759782, target_waypoint=[ 34.152097  -77.8667216]
Iteration 33: x=34.15297187127336, y=-77.86584672872696, yaw=0.78539816321317, v=0.005274064468591594, target_speed=0.01, steer_angle=-9.424777960762654, target_waypoint=[ 34.152097  -77.8667216]
Iteration 34: x=34.15300949871497, y=-77.86580910128536, yaw=0.785398163213416, v=0.005321323823905677, target_speed=0.01, steer_angle=-9.424777960764757, target_waypoint=[ 34.152097  -77.8667216]
Iteration 35: x=34.15304745698895, y=-77.8657711430114, yaw=0.785398163213584, v=0.005368110585666621, target_speed=0.01, steer_angle=-9.424777960766251, target_waypoint=[ 34.152097  -77.8667216]
Iteration 36: x=34.15308574278697, y=-77.86573285721339, yaw=0.7853981632136989, v=0.005414429479809955, target_speed=0.01, steer_angle=-9.424777960767258, target_waypoint=[ 34.152097  -77.8667216]
Iteration 37: x=34.15312435283379, y=-77.86569424716657, yaw=0.7853981632143692, v=0.005460285185011855, target_speed=0.01, steer_angle=-9.424777960757105, target_waypoint=[ 34.152097  -77.8667216]
Iteration 38: x=34.153163283886926, y=-77.86565531611345, yaw=0.7853981632154783, v=0.0055056823331617365, target_speed=0.01, steer_angle=-9.424777960749235, target_waypoint=[ 34.152097  -77.8667216]
Iteration 39: x=34.15320253273631, y=-77.86561606726407, yaw=0.7853981632169292, v=0.005550625509830119, target_speed=0.01, steer_angle=-9.42477796074324, target_waypoint=[ 34.152097  -77.8667216]
Iteration 40: x=34.15324209620398, y=-77.86557650379642, yaw=0.7853981632186412, v=0.005595119254731818, target_speed=0.01, steer_angle=-9.424777960738782, target_waypoint=[ 34.152097  -77.8667216]
Iteration 41: x=34.15328197114376, y=-77.86553662885666, yaw=0.785398163219498, v=0.0056391680621845, target_speed=0.01, steer_angle=-9.424777960754186, target_waypoint=[ 34.152097  -77.8667216]
Iteration 42: x=34.15332215444092, y=-77.86549644555951, yaw=0.7853981632196787, v=0.005682776381562654, target_speed=0.01, steer_angle=-9.4247779607662, target_waypoint=[ 34.152097  -77.8667216]
Iteration 43: x=34.15336264301189, y=-77.86545595698855, yaw=0.78539816321983, v=0.005725948617747028, target_speed=0.01, steer_angle=-9.424777960766736, target_waypoint=[ 34.152097  -77.8667216]
Iteration 44: x=34.15340343380393, y=-77.86541516619653, yaw=0.7853981632204499, v=0.005768689131569558, target_speed=0.01, steer_angle=-9.424777960758634, target_waypoint=[ 34.152097  -77.8667216]
Iteration 45: x=34.15344452379483, y=-77.86537407620564, yaw=0.7853981632209653, v=0.005811002240253862, target_speed=0.01, steer_angle=-9.424777960760508, target_waypoint=[ 34.152097  -77.8667216]
Iteration 46: x=34.153485909992604, y=-77.86533269000788, yaw=0.7853981632214, v=0.005852892217851323, target_speed=0.01, steer_angle=-9.424777960761954, target_waypoint=[ 34.152097  -77.8667216]
Iteration 47: x=34.153527589435186, y=-77.86529101056531, yaw=0.7853981632222256, v=0.00589436329567281, target_speed=0.01, steer_angle=-9.424777960755375, target_waypoint=[ 34.152097  -77.8667216]
Iteration 48: x=34.15356955919012, y=-77.8652490408104, yaw=0.7853981632224722, v=0.005935419662716082, target_speed=0.01, steer_angle=-9.424777960765223, target_waypoint=[ 34.152097  -77.8667216]
Iteration 49: x=34.153611816354285, y=-77.86520678364624, yaw=0.7853981632226995, v=0.005976065466088921, target_speed=0.01, steer_angle=-9.424777960765576, target_waypoint=[ 34.152097  -77.8667216]
Iteration 50: x=34.15365435805359, y=-77.86516424194696, yaw=0.7853981632229153, v=0.006016304811428032, target_speed=0.01, steer_angle=-9.424777960765793, target_waypoint=[ 34.152097  -77.8667216]
Iteration 51: x=34.15369718144269, y=-77.86512141855788, yaw=0.7853981632227113, v=0.006056141763313752, target_speed=0.01, steer_angle=9.42477796076601, target_waypoint=[ 34.152097  -77.8667216]
Iteration 52: x=34.15374028370467, y=-77.86507831629591, yaw=0.7853981632225908, v=0.006095580345680614, target_speed=0.01, steer_angle=9.424777960767404, target_waypoint=[ 34.152097  -77.8667216]
Iteration 53: x=34.15378366205082, y=-77.86503493794977, yaw=0.7853981632225426, v=0.006134624542223808, target_speed=0.01, steer_angle=9.424777960768594, target_waypoint=[ 34.152097  -77.8667216]
Iteration 54: x=34.153827313720285, y=-77.86499128628033, yaw=0.7853981632225572, v=0.00617327829680157, target_speed=0.01, steer_angle=-9.424777960769145, target_waypoint=[ 34.152097  -77.8667216]
Iteration 55: x=34.153871235979835, y=-77.8649473640208, yaw=0.785398163222243, v=0.0062115455138335544, target_speed=0.01, steer_angle=9.424777960764322, target_waypoint=[ 34.152097  -77.8667216]
Iteration 56: x=34.153915426123575, y=-77.86490317387707, yaw=0.7853981632220545, v=0.006249430058695219, target_speed=0.01, steer_angle=9.424777960766363, target_waypoint=[ 34.152097  -77.8667216]
Iteration 57: x=34.15395988147266, y=-77.864858718528, yaw=0.7853981632219711, v=0.006286935758108267, target_speed=0.01, steer_angle=9.424777960768054, target_waypoint=[ 34.152097  -77.8667216]
Iteration 58: x=34.15400459937503, y=-77.86481400062564, yaw=0.7853981632219755, v=0.006324066400527184, target_speed=0.01, steer_angle=-9.42477796076931, target_waypoint=[ 34.152097  -77.8667216]
Iteration 59: x=34.15404957720516, y=-77.86476902279553, yaw=0.7853981632220531, v=0.0063608257365219125, target_speed=0.01, steer_angle=-9.424777960768159, target_waypoint=[ 34.152097  -77.8667216]
Iteration 60: x=34.154094812363766, y=-77.86472378763693, yaw=0.7853981632221919, v=0.006397217479156694, target_speed=0.01, steer_angle=-9.42477796076721, target_waypoint=[ 34.152097  -77.8667216]
Iteration 61: x=34.15414030227757, y=-77.86467829772315, yaw=0.7853981632223817, v=0.006433245304365127, target_speed=0.01, steer_angle=-9.42477796076643, target_waypoint=[ 34.152097  -77.8667216]
Iteration 62: x=34.15418604439902, y=-77.86463255560172, yaw=0.7853981632226137, v=0.006468912851321475, target_speed=0.01, steer_angle=-9.424777960765793, target_waypoint=[ 34.152097  -77.8667216]
Iteration 63: x=34.15423203620603, y=-77.86458656379472, yaw=0.785398163222549, v=0.00650422372280826, target_speed=0.01, steer_angle=9.424777960768385, target_waypoint=[ 34.152097  -77.8667216]
Iteration 64: x=34.15427827520176, y=-77.86454032479901, yaw=0.785398163222584, v=0.0065391814855801774, target_speed=0.01, steer_angle=-9.424777960768843, target_waypoint=[ 34.152097  -77.8667216]
Iteration 65: x=34.15432475891431, y=-77.86449384108647, yaw=0.7853981632223791, v=0.006573789670724375, target_speed=0.01, steer_angle=9.424777960766262, target_waypoint=[ 34.152097  -77.8667216]
Iteration 66: x=34.15437148489652, y=-77.86444711510428, yaw=0.7853981632223092, v=0.006608051774017132, target_speed=0.01, steer_angle=9.42477796076832, target_waypoint=[ 34.152097  -77.8667216]
Iteration 67: x=34.154418450725686, y=-77.86440014927513, yaw=0.785398163222037, v=0.006641971256276961, target_speed=0.01, steer_angle=9.424777960765283, target_waypoint=[ 34.152097  -77.8667216]
Iteration 68: x=34.15446565400334, y=-77.86435294599748, yaw=0.7853981632222268, v=0.006675551543714191, target_speed=0.01, steer_angle=-9.424777960766537, target_waypoint=[ 34.152097  -77.8667216]
Iteration 69: x=34.154513092354996, y=-77.86430550764584, yaw=0.7853981632227771, v=0.006708796028277049, target_speed=0.01, steer_angle=-9.424777960761176, target_waypoint=[ 34.152097  -77.8667216]
Iteration 70: x=34.15456076342992, y=-77.86425783657093, yaw=0.7853981632233091, v=0.0067417080679942785, target_speed=0.01, steer_angle=-9.424777960761489, target_waypoint=[ 34.152097  -77.8667216]
Iteration 71: x=34.15460866490088, y=-77.86420993509999, yaw=0.7853981632238258, v=0.006774290987314336, target_speed=0.01, steer_angle=-9.424777960761752, target_waypoint=[ 34.152097  -77.8667216]
Iteration 72: x=34.154656794463904, y=-77.86416180553698, yaw=0.7853981632240413, v=0.006806548077441192, target_speed=0.01, steer_angle=-9.424777960766214, target_waypoint=[ 34.152097  -77.8667216]
Iteration 73: x=34.15470514983809, y=-77.86411345016282, yaw=0.7853981632243098, v=0.00683848259666678, target_speed=0.01, steer_angle=-9.424777960765454, target_waypoint=[ 34.152097  -77.8667216]
Iteration 74: x=34.15475372876531, y=-77.86406487123561, yaw=0.7853981632243395, v=0.006870097770700113, target_speed=0.01, steer_angle=-9.424777960768946, target_waypoint=[ 34.152097  -77.8667216]
Iteration 75: x=34.154802529010034, y=-77.8640160709909, yaw=0.7853981632244643, v=0.006901396792993112, target_speed=0.01, steer_angle=-9.424777960767571, target_waypoint=[ 34.152097  -77.8667216]
Iteration 76: x=34.1548515483591, y=-77.86396705164185, yaw=0.7853981632246648, v=0.006932382825063181, target_speed=0.01, steer_angle=-9.424777960766487, target_waypoint=[ 34.152097  -77.8667216]
Iteration 77: x=34.154900784621454, y=-77.86391781537951, yaw=0.785398163224925, v=0.0069630589968125494, target_speed=0.01, steer_angle=-9.424777960765644, target_waypoint=[ 34.152097  -77.8667216]
Iteration 78: x=34.154950235627965, y=-77.86386836437302, yaw=0.7853981632252318, v=0.006993428406844424, target_speed=0.01, steer_angle=-9.424777960764992, target_waypoint=[ 34.152097  -77.8667216]
Iteration 79: x=34.15499989923119, y=-77.86381870076981, yaw=0.7853981632253131, v=0.007023494122775979, target_speed=0.01, steer_angle=-9.424777960768223, target_waypoint=[ 34.152097  -77.8667216]
Iteration 80: x=34.155049773305166, y=-77.86376882669585, yaw=0.7853981632252226, v=0.007053259181548219, target_speed=0.01, steer_angle=9.424777960768097, target_waypoint=[ 34.152097  -77.8667216]
Iteration 81: x=34.155099855745185, y=-77.86371874425585, yaw=0.7853981632255146, v=0.007082726589732737, target_speed=0.01, steer_angle=-9.424777960765256, target_waypoint=[ 34.152097  -77.8667216]
